pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp245,near,group_contrib_total_usd,5,933594988.4218494,925452069.5365832,796429948.6369948,124778761.4998932,1737256265.5673528,100497009.40624642,1822347407.40785
ssp245,near,group_supported_companies,5,1.897028198695434,1.7142077687502109,1.3504720396998224,0.304990684653616,3.021375702379757,0.22945114108936004,3.0543595039662614
ssp245,near,insured_citizens_wind_pre_usd,5,1537612149.9521623,1493196200.9792423,1260696138.9238014,210804393.17639047,2756116068.4059315,159342200.81899494,2818522397.2045164
ssp245,near,insured_flood_pre_usd,5,885080991.0388035,876295496.1518621,739271610.2885238,125656321.38067788,1624189551.918182,77762869.11099723,1678673517.9422865
ssp245,near,insured_private_wind_pre_usd,5,8372624471.3746805,7907587675.556387,6511500706.470243,1226225270.721778,14362426074.179983,951454629.7302709,14661174281.96403
ssp245,near,largest_entity_deficit_usd,5,524129496.716551,513698139.69300175,437025909.90064293,72153668.9966106,955963183.5141488,58780431.076927036,993081427.9799544
ssp245,near,nfip_borrowed_usd,5,478039393.17067,521852985.0735175,464722928.90691805,66173183.20356227,1009195594.8937654,37960684.24755758,1076432141.845246
ssp245,near,nfip_claims_paid_usd,5,885080991.0388035,876061866.1424649,738954760.2739733,125656321.38067788,1623488661.8899899,77762869.11099723,1677505367.8952994
ssp245,near,nfip_fl_premium_base_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,near,nfip_fl_premium_depletion_usd,5,233457518.3559217,201685747.76885515,153250549.42802653,39800451.79866109,348629086.28629637,30034327.316503406,362170922.1315754
ssp245,near,nfip_policyholder_shortfall_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,near,nfip_pool_used_usd,5,407093813.8018923,354641840.2784702,278546825.3954185,60546808.2177663,621106865.4969722,41574968.2645241,634462625.1282512
ssp245,near,rescued_defaults,5,1.8703292523833417,1.688564660337131,1.3276537572750333,0.3027970220103458,2.9741794075710413,0.22832837001724304,3.011565679285069
ssp245,near,total_damage_usd,5,29128189871.5779,27850279523.26465,23104268953.06009,4238161433.7211304,50921726226.8359,3242797488.7582855,52310225324.5362
ssp245,near,underinsured_flood_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp245,near,underinsured_wind_usd,5,4371917012.884523,4231873595.2611747,3535935130.271822,629861096.8458134,7787405820.54471,457546593.8199346,8053886066.289986
ssp245,near,uninsured_wind_usd,5,10165588784.625048,9786660045.918272,8183804682.190282,1444370917.5870657,17981772857.29259,1107853237.6786246,18487442746.787033
ssp245,near,water_total_usd,5,4675161369.182147,4407514201.933114,3636342136.261996,669281311.8542982,8027636528.29403,470570087.4841533,8289199832.290647
ssp245,near,wind_insured_citizens_pct,5,1.1316092987125534,1.1271893156498594,0.7700003376047051,0.3612646228597074,1.9172813079467765,0.3577149000242501,2.026340194934683
ssp245,near,wind_insured_citizens_usd,5,1537612149.9521623,1493196200.9792423,1260696138.9238014,210804393.17639047,2756116068.4059315,159342200.81899494,2818522397.2045164
ssp245,near,wind_insured_private_pct,5,7.798264736165482,8.286592485596245,5.686708358399379,2.73038436401417,14.205821001004306,2.651402567830246,14.760228873630655
ssp245,near,wind_insured_private_usd,5,8372624471.3746805,7907587675.556387,6511500706.470243,1226225270.721778,14362426074.179983,951454629.7302709,14661174281.96403
ssp245,near,wind_total_usd,5,24453028502.395756,23442765321.331535,19468618329.799225,3568880121.86683,42894089698.54188,2772227401.27413,44021025492.24557
ssp245,near,wind_underinsured_pct,5,4.108783177097564,4.179910282425801,2.941243347418643,1.2517962514074752,7.20366506549941,1.1757196474350708,7.52005046703647
ssp245,near,wind_underinsured_usd,5,4371917012.884523,4231873595.2611747,3535935130.271822,629861096.8458134,7787405820.54471,457546593.8199346,8053886066.289986
ssp245,near,wind_uninsured_pct,5,9.592869023302853,9.863729984176974,6.828518238256959,3.0876944372912236,16.90316586511581,2.8995055424910774,17.603234174380052
ssp245,near,wind_uninsured_usd,5,10165588784.625048,9786660045.918272,8183804682.190282,1444370917.5870657,17981772857.29259,1107853237.6786246,18487442746.787033
ssp245,near,year_id,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,catbond_issue_volume_year_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,catbond_limit_in_force_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,catbond_payout_usd,5,979917638.7644093,831379281.7936709,571103410.2218059,238523483.89505196,1373419599.257734,136295390.44280854,1569462484.9132316
ssp585,mid,catbond_triggers,5,6.0596000000000005,5.158535629238292,3.4571009544429443,1.5105456911598583,8.426233625519421,0.795440762948413,9.422299528065066
ssp585,mid,catbond_unfilled_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,citizens_residual_deficit_usd,5,2783876867.9496846,3082250747.547879,3051678414.597309,547870828.7862407,6188561532.430877,394015472.15536356,8033392594.3508005
ssp585,mid,citizens_tier1_capacity_usd,5,0.0,2.384185791015625e-08,5.3312014997000454e-08,0.0,7.152557373046876e-08,0.0,1.1920928955078125e-07
