model,period,time_category,pathway,metric,historical_value,future_value,delta_absolute,delta_relative
canesm,ssp585_2cal,mid,ssp585,year_id,5000.5,5000.5,0.0,0.0
canesm,ssp585cal,near,ssp585,policy_severity,,,,
canesm,ssp585cal,near,ssp585,total_damage_usd,2959208477.090196,20063933928.236874,17104725451.146677,5.78016911737352
canesm,ssp585cal,near,ssp585,wind_total_usd,2545697289.3634353,16971990858.320791,14426293568.957355,5.666932054032522
canesm,ssp585cal,near,ssp585,water_total_usd,413511187.72676116,3091943069.91608,2678431882.1893187,6.477290002511772
canesm,ssp585cal,near,ssp585,underinsured_wind_usd,462038621.0917074,3039947561.8673697,2577908940.7756624,5.5794230678910886
canesm,ssp585cal,near,ssp585,uninsured_wind_usd,1068542760.5448261,7184658932.938144,6116116172.393317,5.723791689229962
canesm,ssp585cal,near,ssp585,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
canesm,ssp585cal,near,ssp585,wind_insured_private_usd,860827887.2945501,5717282504.689558,4856454617.395008,5.6416093031768515
canesm,ssp585cal,near,ssp585,wind_insured_citizens_usd,154288020.43235102,1030101858.8257213,875813838.3933703,5.676486326930215
canesm,ssp585cal,near,ssp585,wind_underinsured_usd,462038621.0917074,3039947561.8673697,2577908940.7756624,5.5794230678910886
canesm,ssp585cal,near,ssp585,wind_uninsured_usd,1068542760.5448261,7184658932.938144,6116116172.393317,5.723791689229962
canesm,ssp585cal,near,ssp585,flood_insured_capped_usd,80629474.99125698,562196749.5882598,481567274.59700286,5.972595935285717
canesm,ssp585cal,near,ssp585,flood_un_derinsured_usd,332881712.73550415,2529746320.3278203,2196864607.592316,6.599535280983926
canesm,ssp585cal,near,ssp585,wind_insured_private_pct,14.840131153440463,18.09289545508141,3.2527643016409478,0.2191870319749056
canesm,ssp585cal,near,ssp585,wind_insured_citizens_pct,1.9526318049507136,2.485774373328629,0.5331425683779154,0.2730379414215126
canesm,ssp585cal,near,ssp585,wind_underinsured_pct,7.662562324366621,9.335460172270047,1.6728978479034255,0.21832094501648383
canesm,ssp585cal,near,ssp585,wind_uninsured_pct,17.722962280837034,21.972444473260833,4.249482192423798,0.23977268162549517
canesm,ssp585cal,near,ssp585,flood_insured_capped_pct,1.31212909340994,1.5485738684991077,0.2364447750891676,0.18019932358537888
canesm,ssp585cal,near,ssp585,flood_un_derinsured_pct,6.339583342995228,7.764851657559968,1.4252683145647405,0.22482050277634677
canesm,ssp585cal,near,ssp585,insured_private_wind_pre_usd,860827887.2945501,5717282504.689558,4856454617.395008,5.6416093031768515
canesm,ssp585cal,near,ssp585,insured_citizens_wind_pre_usd,154288020.43235102,1030101858.8257213,875813838.3933703,5.676486326930215
canesm,ssp585cal,near,ssp585,insured_flood_pre_usd,80629474.99125698,562196749.5882598,481567274.59700286,5.972595935285717
canesm,ssp585cal,near,ssp585,defaults_pre,0.6876,3.051,2.3634000000000004,3.4371727748691105
canesm,ssp585cal,near,ssp585,defaults_post,0.4257,1.8892,1.4635,3.437867042518205
canesm,ssp585cal,near,ssp585,rescued_defaults,0.2619,1.1618,0.8998999999999999,3.4360442917143943
canesm,ssp585cal,near,ssp585,group_contrib_total_usd,55146919.2058942,681906276.5651457,626759357.3592515,11.365265120599199
canesm,ssp585cal,near,ssp585,group_supported_companies,0.2625,1.1816,0.9191,3.501333333333333
canesm,ssp585cal,near,ssp585,defaulted_premium_base_pct,1.0206296127848284,3.833392805401732,2.812763192616903,2.7559098397529023
canesm,ssp585cal,near,ssp585,largest_entity_deficit_usd,38189735.0155562,374110335.2417177,335920600.2261615,8.796096649775853
canesm,ssp585cal,near,ssp585,diag_group_shortfall_total_usd,318985.3947500718,11024076.004216148,10705090.609466076,33.559814291352176
canesm,ssp585cal,near,ssp585,diag_groups_with_shortfall,0.0112,0.0663,0.055099999999999996,4.919642857142857
