model,metric,era5_value,gcm_20thcal_value,bias_absolute,bias_relative
ipsl6,group_supported_companies,1.3025,0.163371801304566,-1.139128198695434,-0.8745705940080107
ipsl6,defaulted_premium_base_pct,4.590575368681856,0.6756197663125554,-3.9149556023693006,-0.852824599957161
ipsl6,largest_entity_deficit_usd,328194908.3869914,20192069.698272046,-308002838.68871933,-0.9384753718529278
ipsl6,diag_group_shortfall_total_usd,6174970.940672383,110483.02001001853,-6064487.920662364,-0.9821079287544002
ipsl6,diag_groups_with_shortfall,0.073,0.006522829904666332,-0.06647717009533366,-0.9106461656895023
ipsl6,diag_groups_fully_funded_share,0.9986226415094339,0.9998769277376478,0.0012542862282138856,0.0012560162128088866
ipsl6,figa_residual_deficit_usd,1292311924.0864177,61749126.36181975,-1230562797.724598,-0.9522180944004889
ipsl6,figa_collected_usd,48326314.97494906,7394342.453384066,-40931972.521565,-0.8469913864275174
ipsl6,citizens_residual_deficit_usd,718277468.2344651,50796884.884742945,-667480583.3497221,-0.9292795790885626
ipsl6,citizens_tier1_usd,100789599.68242246,18135128.76359098,-82654470.91883148,-0.8200694434670553
ipsl6,citizens_tier2_usd,49554667.266172744,8188027.251058928,-41366640.015113816,-0.834767788731612
ipsl6,citizens_tier1_capacity_usd,539937478.65,539937478.6499999,-1.1920928955078125e-07,-2.2078350598820995e-16
ipsl6,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
ipsl6,nfip_borrowed_usd,345997559.61779946,14866622.283040473,-331130937.334759,-0.957032580520329
ipsl6,nfip_claims_paid_usd,644954483.8175347,58061755.666188054,-586892728.1513467,-0.9099754213312604
ipsl6,nfip_pool_used_usd,298956924.1997352,43142917.44938878,-255814006.75034645,-0.8556885157790669
ipsl6,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
ipsl6,nfip_fl_premium_depletion_usd,182250316.13919604,30639928.3266539,-151610387.81254214,-0.8318799715921905
ipsl6,underinsured_flood_usd,0.0,0.0,0.0,
ipsl6,fhcf_total_precap_usd,1311138277.5906637,89361095.39670403,-1221777182.1939597,-0.9318446445168902
ipsl6,fhcf_total_postcap_usd,965536172.7988871,87657945.6544832,-877878227.1444039,-0.9092131935353792
ipsl6,fhcf_shortfall_usd,345602104.79177666,1703149.7422208227,-343898955.04955584,-0.9950719346942434
ipsl6,fhcf_scaling_factor,0.9895177457955809,0.9999191497016975,0.010401403906116546,0.010511589054680092
ipsl6,fhcf_recovery_private_usd,805045573.3874182,73589285.79506704,-731456287.5923511,-0.908589913133212
ipsl6,fhcf_recovery_citizens_usd,160490599.41146898,14068659.859416153,-146421939.55205283,-0.9123396640612784
ipsl6,catbond_payout_usd,511945273.42870957,122705694.19064938,-389239579.2380602,-0.7603148216041951
ipsl6,catbond_unfilled_usd,0.0,0.0,0.0,
ipsl6,catbond_triggers,3.6528,0.9900652282990466,-2.6627347717009533,-0.728957175783222
ipsl6,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
ipsl6,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
ipsl6,year_id,5000.5,5000.5,0.0,0.0
miroc6,total_damage_usd,19343788695.230297,7993216014.208818,-11350572681.021479,-0.5867812588244541
miroc6,wind_total_usd,16304436396.651468,6714659986.043478,-9589776410.60799,-0.5881697580529368
miroc6,water_total_usd,3039352298.578831,1278556028.165341,-1760796270.4134903,-0.5793327319234496
miroc6,underinsured_wind_usd,2969616746.555762,1221069960.4000843,-1748546786.1556776,-0.5888122728913376
miroc6,uninsured_wind_usd,6765845907.801158,2870377872.979169,-3895468034.821989,-0.5757547670913455
miroc6,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
miroc6,wind_insured_private_usd,5491050988.223578,2289690533.4049416,-3201360454.818637,-0.5830141555204017
miroc6,wind_insured_citizens_usd,1077922754.0709696,429552358.48558825,-648370395.5853813,-0.6014998692037009
miroc6,wind_underinsured_usd,2969616746.555762,1221069960.4000843,-1748546786.1556776,-0.5888122728913376
miroc6,wind_uninsured_usd,6765845907.801158,2870377872.979169,-3895468034.821989,-0.5757547670913455
miroc6,flood_insured_capped_usd,644954483.8175347,258262322.09539124,-386692161.7221434,-0.5995650412929655
