pathway,time_category,metric,era5_baseline,delta_median,delta_p10,delta_p90,scaled_median,scaled_p10,scaled_p90,n_models
ssp585,mid,wind_total_usd,16304436396.651468,61186594245.35235,12416718331.635923,120000783507.19398,77491030642.00381,28721154728.28739,136305219903.84546,5
ssp585,mid,wind_underinsured_pct,10.951058655424745,4.578972051523122,0.6687162981589427,7.9541859585274155,15.530030706947867,11.619774953583688,18.90524461395216,5
ssp585,mid,wind_underinsured_usd,2969616746.555762,11004623567.135569,2236105508.471964,21538147199.51813,13974240313.69133,5205722255.027725,24507763946.073895,5
ssp585,mid,wind_uninsured_pct,25.378578795587508,10.589365792038052,1.60974420227606,18.642663343760947,35.96794458762556,26.98832299786357,44.02124213934846,5
ssp585,mid,wind_uninsured_usd,6765845907.801158,25809507645.751682,5288657736.822432,50386009233.58554,32575353553.55284,12054503644.623589,57151855141.386696,5
ssp585,mid,year_id,5000.5,0.0,0.0,0.0,5000.5,5000.5,5000.5,5
ssp585,near,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp585,near,catbond_limit_in_force_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp585,near,catbond_payout_usd,511945273.42870957,721806464.9231623,162737783.55608237,977068696.1626471,1233751738.351872,674683056.984792,1489013969.5913568,5
ssp585,near,catbond_triggers,3.6528,4.814634771700954,1.1187818500862154,6.21899971683904,8.467434771700955,4.771581850086216,9.871799716839039,5
ssp585,near,catbond_unfilled_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ssp585,near,citizens_residual_deficit_usd,718277468.2344651,1324183834.3010964,280797717.4044239,2714713281.3503747,2042461302.5355616,999075185.6388891,3432990749.58484,5
ssp585,near,citizens_tier1_capacity_usd,539937478.65,0.0,0.0,7.152557373046876e-08,539937478.65,539937478.65,539937478.6500001,5
ssp585,near,citizens_tier1_usd,100789599.68242246,150076579.3925239,33174090.405480973,223661375.15333116,250866179.07494637,133963690.08790344,324450974.8357536,5
ssp585,near,citizens_tier2_capacity_usd,359958319.09999996,0.0,0.0,0.0,359958319.09999996,359958319.09999996,359958319.09999996,5
ssp585,near,citizens_tier2_usd,49554667.266172744,77098518.65750188,14372931.458003871,117652797.16428515,126653185.92367461,63927598.724176615,167207464.4304579,5
ssp585,near,defaulted_premium_base_pct,4.590575368681856,7.729889579452131,1.5111534204120498,11.960638308976,12.320464948133987,6.101728789093906,16.551213677657856,5
ssp585,near,defaults_post,2.1875,3.8177000000000003,0.74188,6.16576,6.0052,2.92938,8.353259999999999,5
ssp585,near,defaults_pre,3.4775,6.075233166081285,1.1960592737600164,9.899587713625866,9.552733166081286,4.6735592737600165,13.377087713625865,5
