pathway_abs,time_category,metric,era5_baseline_abs,delta_median_abs,delta_p10_abs,delta_p90_abs,scaled_median_abs,scaled_p10_abs,scaled_p90_abs,n_models_abs,pathway_rel,era5_baseline_rel,delta_median_rel,delta_p10_rel,delta_p90_rel,scaled_median_rel,scaled_p10_rel,scaled_p90_rel,n_models_rel,diff_median,diff_median_pct
ssp245,mid,flood_un_derinsured_usd,2394397814.7612963,5780993196.953457,1097853426.2285576,7224787095.540759,8175391011.714753,3492251240.989854,9619184910.302055,5,ssp245,2394397814.7612963,8.699199923608395,2.6915670475332427,20.70815067810656,23223743102.020874,8839080071.658407,51977948546.1673,5,-15048352090.306122,-64.79727244742321
ssp245,mid,flood_un_derinsured_usd,2394397814.7612963,5780993196.953457,1097853426.2285576,7224787095.540759,8175391011.714753,3492251240.989854,9619184910.302055,5,ssp585,2394397814.7612963,12.853509926755866,3.29576776814435,40.383456887306785,33170813895.39817,10285776956.766842,99088458738.23569,5,-24995422883.68342,-75.35366169339326
ssp245,mid,group_contrib_total_usd,572184876.4533527,1486274429.2611294,306017178.5272976,2067939612.3361826,2058459305.714482,878202054.9806503,2640124488.7895355,5,ssp245,572184876.4533527,11.077283766131671,4.552993992375598,40.23834275578543,6910439119.616133,3177339181.4736414,23595956054.8601,5,-4851979813.90165,-70.21232268914298
ssp245,mid,group_contrib_total_usd,572184876.4533527,1486274429.2611294,306017178.5272976,2067939612.3361826,2058459305.714482,878202054.9806503,2640124488.7895355,5,ssp585,572184876.4533527,16.81570001027014,4.900030417076246,84.87353967862387,10193874109.306416,3375908175.2657948,49135540691.62548,5,-8135414803.591933,-79.80689889199996
ssp245,mid,group_supported_companies,1.3025,2.910128198695434,0.5647675305532857,3.3625757023797567,4.212628198695434,1.8672675305532858,4.665075702379757,5,ssp245,1.3025,5.938585496866607,1.7539858877022318,14.5508506360013,9.037507609668756,3.587066618732157,20.254982953391693,5,-4.824879410973322,-53.3872790968545
ssp245,mid,group_supported_companies,1.3025,2.910128198695434,0.5647675305532857,3.3625757023797567,4.212628198695434,1.8672675305532858,4.665075702379757,5,ssp585,1.3025,7.985138764547896,2.3459086681989354,24.405608752834258,11.703143240823636,4.358046040329113,33.09080540056662,5,-7.490515042128202,-64.00430113509437
ssp245,mid,insured_citizens_wind_pre_usd,1077922754.0709696,2330220561.4395785,440416972.80714345,3002618093.21676,3408143315.510548,1518339726.878113,4080540847.2877297,5,ssp245,1077922754.0709696,6.841258781131645,2.3587359315131797,17.832084092216746,8452271260.740598,3620457885.49381,20299531949.57837,5,-5044127945.230049,-59.67778115048424
ssp245,mid,insured_citizens_wind_pre_usd,1077922754.0709696,2330220561.4395785,440416972.80714345,3002618093.21676,3408143315.510548,1518339726.878113,4080540847.2877297,5,ssp585,1077922754.0709696,9.717026176745312,2.8199829276694297,35.72985292372428,11552126371.887981,4117646517.897517,39591944220.16253,5,-8143983056.377434,-70.49769708367941
ssp245,mid,insured_flood_pre_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683889843.4398174,1905430685.2057729,855914107.8577672,2328844327.257352,5,ssp245,644954483.8175347,7.297058430094994,2.237408538261402,17.00701289621197,5351225036.985842,2087981152.700862,11613703707.572083,5,-3445794351.780069,-64.39262651007786
ssp245,mid,insured_flood_pre_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683889843.4398174,1905430685.2057729,855914107.8577672,2328844327.257352,5,ssp585,644954483.8175347,11.108394601451254,2.751255042147335,34.71276513324636,7809363390.038017,2419388759.3760586,23033108002.209755,5,-5903932704.832245,-75.60069124665876
