pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp245,near,nfip_fl_premium_depletion_usd,5,3.5342455882139463,3.7865616500278305,3.1192824611980092,0.7040382987828722,7.052311614199538,0.36523571420156603,7.619388526860073
ssp245,near,nfip_pool_used_usd,5,4.231689445447661,4.543375265059839,3.8479167972882826,0.7609452474363123,8.583055773984562,0.3136952107351468,9.435936136666152
ssp245,near,rescued_defaults,5,5.254997298757428,5.464927365148883,4.653358367677165,0.8784609758046076,10.325080033983927,0.40899153343023237,11.469434461538462
ssp245,near,total_damage_usd,5,7.0638090210194076,7.270077121080588,6.500730592831158,1.018110866368603,14.046558238018417,0.40569371364340173,16.344498639524623
ssp245,near,underinsured_wind_usd,5,7.104042975796164,7.227338847442897,6.420503484563455,0.9938808014153193,13.903767373042486,0.37470956510142894,16.048228784350957
ssp245,near,uninsured_wind_usd,5,7.086309253740188,7.22698367748705,6.493226752099233,0.9612234168177501,13.984047192518643,0.38596076429783177,16.243174014994015
ssp245,near,water_total_usd,5,7.741885015290371,7.527416344130351,6.582137885147565,1.1565695730405696,14.249263693379248,0.3680480769852503,16.870724844391066
ssp245,near,wind_insured_citizens_pct,5,0.3809669644406065,0.5434326014722164,0.427497466575821,0.16377510211609606,1.00711769196454,0.15082764433896972,1.0312442402232593
ssp245,near,wind_insured_citizens_usd,5,6.318158908921383,6.654282642125553,5.910804567861851,0.9692191515399375,12.851284856545393,0.37094942600423636,14.825062011009654
ssp245,near,wind_insured_private_pct,5,0.4166195001826242,0.5830973086925376,0.45583347429263393,0.17870140554030206,1.0747410633274894,0.17866436222267199,1.0908138955561584
ssp245,near,wind_insured_private_usd,5,6.831891219435765,7.269175693963969,6.568199836277826,1.0106280206400151,14.17223524502364,0.4155385262109576,16.470803301339156
ssp245,near,wind_total_usd,5,6.949199970165953,7.226944897113048,6.486649788326939,0.9962522139544467,14.010051119383483,0.41286191810698475,16.247605717784094
ssp245,near,wind_underinsured_pct,5,0.4213030457199768,0.5727854146692758,0.4595772504676816,0.15815409669021013,1.0671234073263345,0.15343687890098232,1.0877025859289366
ssp245,near,wind_underinsured_usd,5,7.104042975796164,7.227338847442897,6.420503484563455,0.9938808014153193,13.903767373042486,0.37470956510142894,16.048228784350957
ssp245,near,wind_uninsured_pct,5,0.4252362277891347,0.580255496317882,0.45864507211125755,0.16796503302889076,1.0744182516507146,0.16360163140595124,1.0962322843915242
ssp245,near,wind_uninsured_usd,5,7.086309253740188,7.22698367748705,6.493226752099233,0.9612234168177501,13.984047192518643,0.38596076429783177,16.243174014994015
ssp245,near,year_id,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,catbond_issue_volume_year_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,catbond_limit_in_force_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,catbond_payout_usd,5,3.242418209825849,4.399548117854357,3.687811833611324,1.0105326972683135,8.393023587989095,0.7108434073816641,8.796293260013506
ssp585,mid,catbond_triggers,5,2.6409239485726737,3.5206918853922518,2.8978007642578696,0.8374021349428502,6.65362236598226,0.528356534671812,7.001695013176566
ssp585,mid,citizens_residual_deficit_usd,5,12.734626571612381,25.119316930263448,25.474416854737882,3.571775470806549,53.10188252341877,2.8402874141702075,54.80408639754666
ssp585,mid,citizens_tier1_capacity_usd,5,0.0,4.4156701197641997e-17,9.873738554007388e-17,0.0,1.32470103592926e-16,0.0,2.2078350598821e-16
ssp585,mid,citizens_tier1_usd,5,4.458197961800736,6.228629913270208,5.3438754782848585,1.4428251362140243,12.0968450696008,1.1910566071625064,13.137391212811014
ssp585,mid,citizens_tier2_capacity_usd,5,0.0,-3.3117525898231494e-17,7.405303915505541e-17,-9.935257769469449e-17,0.0,-1.6558762949115748e-16,0.0
ssp585,mid,citizens_tier2_usd,5,5.363000525908557,7.58856462749502,6.52816466153613,1.7230681788000435,14.663971534636993,1.6028798420477228,15.172673502004354
ssp585,mid,defaulted_premium_base_pct,5,6.255411917739236,9.117833347404957,7.996719367677872,2.036989104514393,17.86465502793065,2.0005153120811454,18.84019571157296
ssp585,mid,defaults_post,5,7.481937862032647,11.372029930583645,10.280286808185682,2.3000616489303765,22.537182708620275,2.247499193288158,23.182299012693935
ssp585,mid,defaults_pre,5,7.617889420521,11.581758882022408,10.487788374815084,2.3165009015699383,22.975727249462583,2.22394162556584,23.655389150414706
ssp585,mid,diag_group_shortfall_total_usd,5,31.04833770494996,140.96458648025683,181.17737722267017,10.536964146558159,343.93060842607224,4.381850063998871,420.40682340648465
ssp585,mid,diag_groups_fully_funded_share,5,-0.004932251742160335,-0.004928950344559458,0.00428302880919748,-0.009275157110441414,-0.0010788443260969648,-0.011532103636408325,-0.0008129035850096631
ssp585,mid,diag_groups_with_shortfall,5,11.773584905660378,20.608673690006015,20.276056524376152,3.1027021553655896,42.87574921945701,2.607194932432432,44.74549485294117
ssp585,mid,fhcf_recovery_citizens_usd,5,6.848106863452335,13.73043816504627,12.8178988965537,3.030845178859924,27.941664385596386,1.6816789711192777,29.57270092760426
ssp585,mid,fhcf_recovery_private_usd,5,9.407747815328644,15.810171594026794,14.980133552248052,2.8670630718489485,32.40079694600408,2.132997900549906,34.92008187910456
ssp585,mid,fhcf_scaling_factor,5,-0.05136962300830263,-0.05322060705834547,0.050720807364215706,-0.10408746542717046,-0.010259442646253655,-0.1348966403621333,-0.00737107543813776
ssp585,mid,fhcf_shortfall_usd,5,18.365246146269712,278.083646136725,547.8619013738493,8.947354408392014,791.9130125136289,4.222518263981818,1255.973347271411
ssp585,mid,fhcf_total_postcap_usd,5,8.926798364462597,15.445270276218361,14.638707401856292,2.8710617167285326,31.673612670001837,2.0624117972615514,34.06185410313189
ssp585,mid,fhcf_total_precap_usd,5,11.443467550104813,24.01112697125918,24.559047606098854,3.902844222442382,51.54471329794295,2.662960409371549,57.350492580172926
ssp585,mid,figa_collected_usd,5,5.430633576425862,7.862618928820348,6.890707461120404,1.8451927911785964,15.47756687937289,1.7355552019694782,17.113321015436203
ssp585,mid,figa_residual_deficit_usd,5,17.00985534985248,39.01514594580208,42.25752861840032,4.779847154787069,86.45585676183416,3.429516776545403,96.61725404824482
ssp585,mid,flood_insured_capped_pct,5,0.3316601319223508,0.5063696763158093,0.5825893740779695,-0.04331755362129691,1.0916056502112885,-0.28044220309856943,1.1215061867351366
ssp585,mid,flood_insured_capped_usd,5,11.108394601451254,17.10693762834415,16.131441432020083,2.751255042147335,34.70358298215489,2.1784789404486706,36.24312410052348
ssp585,mid,flood_un_derinsured_pct,5,0.5092233376814591,0.6345732215630288,0.5515754961785454,0.10147683184731454,1.1717210904856614,-0.13735030496045292,1.1760543763579627
