event_id,total_damage_usd
FL_era5_reanalcal_00573,1248291479.5943856
FL_era5_reanalcal_00574,0.0
FL_era5_reanalcal_00575,0.0
FL_era5_reanalcal_00576,3779208557.8763113
FL_era5_reanalcal_00577,0.0
FL_era5_reanalcal_00578,68486472.35296898
FL_era5_reanalcal_00579,35347078.75553183
FL_era5_reanalcal_00580,0.0
FL_era5_reanalcal_00581,0.0
FL_era5_reanalcal_00582,0.0
FL_era5_reanalcal_00583,0.0
FL_era5_reanalcal_00584,0.0
FL_era5_reanalcal_00585,1813642.8087517852
FL_era5_reanalcal_00586,1574222.0011909192
FL_era5_reanalcal_00587,0.0
FL_era5_reanalcal_00588,0.0
FL_era5_reanalcal_00589,0.0
FL_era5_reanalcal_00590,0.0
FL_era5_reanalcal_00591,0.0
FL_era5_reanalcal_00592,0.0
FL_era5_reanalcal_00593,226794760.44853184
FL_era5_reanalcal_00594,0.0
FL_era5_reanalcal_00595,95453.51108795333
FL_era5_reanalcal_00596,0.0
FL_era5_reanalcal_00597,0.0
FL_era5_reanalcal_00598,0.0
FL_era5_reanalcal_00599,526277.9039112199
FL_era5_reanalcal_00600,0.0
FL_era5_reanalcal_00601,0.0
FL_era5_reanalcal_00602,985865.4694707764
FL_era5_reanalcal_00603,0.0
FL_era5_reanalcal_00604,61550529.38476067
FL_era5_reanalcal_00605,0.0
FL_era5_reanalcal_00606,0.0
FL_era5_reanalcal_00607,0.2658159589584833
FL_era5_reanalcal_00608,3865731.0160078686
FL_era5_reanalcal_00609,0.0
FL_era5_reanalcal_00610,0.0
FL_era5_reanalcal_00611,0.0
FL_era5_reanalcal_00612,0.0
FL_era5_reanalcal_00613,12057493.316161947
FL_era5_reanalcal_00614,0.0
FL_era5_reanalcal_00615,3123641706.507215
FL_era5_reanalcal_00616,5047895881.571449
FL_era5_reanalcal_00617,7860970732.058298
FL_era5_reanalcal_00618,0.0
FL_era5_reanalcal_00619,0.0
FL_era5_reanalcal_00620,0.0
FL_era5_reanalcal_00621,43245499575.879585
FL_era5_reanalcal_00622,0.0
FL_era5_reanalcal_00623,0.0
FL_era5_reanalcal_00624,11629382.785477277
FL_era5_reanalcal_00625,124187301.80399042
FL_era5_reanalcal_00626,0.0
FL_era5_reanalcal_00627,833808663.9140724
FL_era5_reanalcal_00628,0.0
FL_era5_reanalcal_00629,0.0
FL_era5_reanalcal_00630,1218714588.5719216
FL_era5_reanalcal_00631,96689985.54826055
FL_era5_reanalcal_00632,0.0
FL_era5_reanalcal_00633,12410907.010467742
FL_era5_reanalcal_00634,0.0
FL_era5_reanalcal_00635,0.0
FL_era5_reanalcal_00636,296946450104.8887
FL_era5_reanalcal_00637,0.0
FL_era5_reanalcal_00638,4777478.530646711
FL_era5_reanalcal_00639,266729871.25155234
FL_era5_reanalcal_00640,26850493835.522938
FL_era5_reanalcal_00641,19416336.025281608
FL_era5_reanalcal_00642,0.0
FL_era5_reanalcal_00643,0.0
FL_era5_reanalcal_00644,0.0
FL_era5_reanalcal_00645,0.0
FL_era5_reanalcal_00646,450494229.9237767
FL_era5_reanalcal_00647,0.0
FL_era5_reanalcal_00648,1586207075.8819342
FL_era5_reanalcal_00649,7204097421.762699
FL_era5_reanalcal_00650,1387204787.3487177
FL_era5_reanalcal_00651,4257323020.165694
FL_era5_reanalcal_00652,0.0
FL_era5_reanalcal_00653,0.0
FL_era5_reanalcal_00654,16733858183.713623
FL_era5_reanalcal_00655,18444706.8696558
FL_era5_reanalcal_00656,15657717376.304281
FL_era5_reanalcal_00657,930993161.5163748
FL_era5_reanalcal_00658,47651094.46505623
FL_era5_reanalcal_00659,0.0
FL_era5_reanalcal_00660,142172.50096685466
FL_era5_reanalcal_00661,0.0
FL_era5_reanalcal_00662,57667665.801761076
FL_era5_reanalcal_00663,330888048.08099157
FL_era5_reanalcal_00664,1607275.53211138
